,Azimuth,Elevation
1051,41.0,20.0
1052,41.0,41.0
1053,41.0,18.0
1054,41.0,41.0
1055,41.0,19.0
1056,41.0,19.0
1057,41.0,41.0
1058,41.0,20.0
1059,42.0,43.0
1060,42.0,19.0
1061,42.0,41.0
1062,42.0,43.0
1063,42.0,18.0
1064,42.0,20.0
1065,42.0,19.0
1066,42.0,19.0
1067,42.0,19.0
1068,42.0,36.0
1069,42.0,19.0
1070,42.0,43.0
1071,42.0,36.0
1072,42.0,18.0
1073,42.0,20.0
1074,42.0,19.0
1075,42.0,36.0
1076,42.0,36.0
1077,42.0,41.0
1078,42.0,41.0
1079,42.0,18.0
1080,42.0,39.0
1081,42.0,39.0
1082,42.0,40.0
1083,42.0,39.0
1084,42.0,20.0
1085,42.0,40.0
1086,42.0,36.0
1087,42.0,36.0
1088,42.0,36.0
1089,42.0,36.0
1090,42.0,36.0
1091,42.0,43.0
1092,42.0,19.0
1093,42.0,19.0
1094,42.0,20.0
1095,42.0,36.0
1096,42.0,40.0
1097,42.0,36.0
1098,42.0,40.0
1099,42.0,18.0
1100,42.0,39.0
1101,42.0,40.0
1102,42.0,39.0
1103,42.0,40.0
1104,42.0,39.0
1105,42.0,20.0
1106,42.0,39.0
1107,42.0,39.0
1108,42.0,39.0
1109,42.0,18.0
1110,42.0,19.0
1111,42.0,20.0
1112,42.0,36.0
1113,42.0,40.0
1114,42.0,40.0
1115,42.0,39.0
1116,42.0,39.0
1117,42.0,40.0
1118,42.0,39.0
1119,42.0,39.0
1120,42.0,43.0
1121,42.0,40.0
1122,42.0,38.0
1123,42.0,19.0
1124,42.0,36.0
1125,42.0,36.0
1126,42.0,36.0
1127,42.0,39.0
1128,42.0,36.0
1129,42.0,18.0
1130,42.0,20.0
1131,42.0,39.0
1132,42.0,39.0
1133,42.0,36.0
1134,42.0,39.0
1135,42.0,18.0
1136,42.0,39.0
1137,42.0,19.0
1138,42.0,20.0
1139,42.0,20.0
1140,42.0,39.0
1141,42.0,36.0
1142,42.0,43.0
1143,42.0,19.0
1144,42.0,38.0
1145,42.0,38.0
1146,42.0,38.0
1147,42.0,38.0
1148,42.0,38.0
1149,42.0,18.0
1150,42.0,19.0
1151,42.0,36.0
1152,42.0,43.0
1153,42.0,20.0
1154,42.0,18.0
1155,42.0,39.0
1156,42.0,39.0
1157,42.0,38.0
1158,42.0,36.0
1159,42.0,37.0
1160,42.0,20.0
1161,42.0,38.0
1162,42.0,19.0
1163,42.0,19.0
1164,42.0,19.0
1165,42.0,19.0
1166,42.0,19.0
1167,42.0,19.0
1168,42.0,38.0
1169,42.0,38.0
1170,42.0,20.0
1171,42.0,20.0
1172,42.0,20.0
1173,42.0,20.0
1174,42.0,18.0
1175,42.0,36.0
1176,42.0,19.0
1177,42.0,36.0
1178,42.0,37.0
1179,42.0,38.0
1180,42.0,37.0
1181,42.0,37.0
1182,42.0,38.0
1183,42.0,37.0
1184,42.0,37.0
1185,42.0,38.0
1186,42.0,43.0
1187,42.0,37.0
1188,42.0,38.0
1189,42.0,20.0
1190,42.0,18.0
1191,42.0,20.0
1192,42.0,37.0
1193,42.0,36.0
1194,42.0,38.0
1195,42.0,38.0
1196,42.0,38.0
1197,42.0,20.0
1198,42.0,37.0
1199,42.0,36.0
1200,42.0,20.0
1201,42.0,18.0
1202,42.0,37.0
1203,42.0,20.0
1204,42.0,20.0
1205,42.0,43.0
1206,42.0,36.0
1207,42.0,36.0
1208,42.0,37.0
1209,42.0,37.0
1210,42.0,36.0
1211,42.0,37.0
1212,42.0,20.0
1213,42.0,20.0
1214,42.0,20.0
1215,42.0,20.0
1216,42.0,18.0
1217,42.0,18.0
1218,42.0,36.0
1219,42.0,36.0
1220,42.0,36.0
1221,42.0,36.0
1222,42.0,37.0
1223,42.0,36.0
1224,42.0,37.0
1225,42.0,18.0
1226,42.0,18.0
1227,42.0,37.0
1228,42.0,18.0
1229,42.0,37.0
1230,42.0,19.0
1231,42.0,36.0
1232,42.0,43.0
1233,43.0,20.0
1234,43.0,20.0
1235,43.0,19.0
1236,43.0,19.0
1237,43.0,19.0
1238,43.0,37.0
1239,43.0,36.0
1240,43.0,36.0
1241,43.0,20.0
1242,43.0,18.0
1243,43.0,19.0
1244,43.0,36.0
1245,43.0,35.0
1246,43.0,20.0
1247,43.0,20.0
1248,43.0,35.0
1249,43.0,19.0
1250,43.0,35.0
1251,43.0,18.0
1252,43.0,43.0
1253,43.0,20.0
1254,43.0,18.0
1255,43.0,35.0
1256,43.0,35.0
1257,43.0,36.0
1258,43.0,20.0
1259,43.0,36.0
1260,43.0,36.0
1261,43.0,36.0
1262,43.0,35.0
1263,43.0,20.0
1264,43.0,20.0
1265,43.0,20.0
1266,43.0,20.0
1267,43.0,18.0
1268,43.0,35.0
1269,43.0,35.0
1270,43.0,35.0
1271,43.0,43.0
1272,43.0,35.0
1273,43.0,18.0
1274,43.0,34.0
1275,43.0,34.0
1276,43.0,34.0
1277,43.0,20.0
1278,43.0,20.0
1279,43.0,43.0
1280,43.0,20.0
1281,43.0,18.0
1282,43.0,26.0
1283,43.0,34.0
1284,43.0,34.0
1285,43.0,34.0
1286,43.0,34.0
1287,43.0,34.0
1288,43.0,35.0
1289,43.0,20.0
1290,43.0,35.0
1291,43.0,20.0
1292,43.0,20.0
1293,43.0,35.0
1294,43.0,34.0
1295,43.0,34.0
1296,43.0,34.0
1297,43.0,26.0
1298,43.0,22.0
1299,43.0,34.0
1300,43.0,33.0
1301,43.0,33.0
1302,43.0,18.0
1303,43.0,18.0
1304,43.0,18.0
1305,43.0,33.0
1306,43.0,33.0
1307,43.0,18.0
1308,43.0,33.0
1309,43.0,31.0
1310,43.0,25.0
1311,43.0,18.0
1312,43.0,28.0
1313,43.0,31.0
1314,43.0,31.0
1315,43.0,25.0
1316,43.0,25.0
1317,43.0,18.0
1318,43.0,28.0
1319,43.0,28.0
1320,43.0,24.0
1321,43.0,24.0
1322,43.0,31.0
1323,43.0,31.0
1324,43.0,21.0
1325,43.0,28.0
1326,43.0,28.0
1327,43.0,43.0
1328,43.0,24.0
1329,43.0,24.0
1330,43.0,23.0
1331,43.0,31.0
1332,43.0,31.0
1333,43.0,31.0
1334,43.0,21.0
1335,43.0,21.0
1336,43.0,28.0
1337,43.0,28.0
1338,43.0,26.0
1339,43.0,34.0
1340,43.0,24.0
1341,43.0,24.0
1342,43.0,23.0
1343,43.0,23.0
1344,43.0,31.0
1345,43.0,31.0
1346,43.0,21.0
1347,43.0,21.0
1348,43.0,28.0
1349,43.0,28.0
1350,43.0,26.0
1351,43.0,26.0
